epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,639.766,1.37158,2.27534,1.58731,0.45162,0.36646,0.34261,0.18222,1.81095,2.42707,2.18392,0.000237764,0.000237764,0.000237764
2,1268.06,1.3688,1.86967,1.60176,0.55588,0.45455,0.47799,0.28907,1.53899,1.80728,1.81426,0.000444364,0.000444364,0.000444364
3,1886.47,1.29971,1.6879,1.55218,0.65227,0.45527,0.49823,0.30229,1.51495,1.66368,1.79531,0.000619547,0.000619547,0.000619547
4,2504.34,1.2615,1.55717,1.51174,0.65201,0.55531,0.58385,0.3644,1.42749,1.43742,1.72573,0.000572628,0.000572628,0.000572628
5,3121.87,1.19271,1.37675,1.44895,0.67677,0.55115,0.59363,0.38411,1.36452,1.39022,1.65701,0.000525504,0.000525504,0.000525504
6,3738.92,1.17965,1.17331,1.5013,0.75808,0.57933,0.64778,0.42413,1.29434,1.20223,1.60345,0.00047838,0.00047838,0.00047838
7,4353.73,1.11502,1.03371,1.44155,0.7209,0.61197,0.66048,0.43802,1.26822,1.169,1.55832,0.000431256,0.000431256,0.000431256
8,4969.27,1.06474,0.93333,1.39347,0.75596,0.64068,0.68572,0.4634,1.22756,1.11937,1.51594,0.000384132,0.000384132,0.000384132
9,5584.33,1.01681,0.85045,1.35476,0.75259,0.66539,0.71287,0.48381,1.19887,1.06794,1.51254,0.000337008,0.000337008,0.000337008
10,6198.71,0.98057,0.78657,1.32208,0.75525,0.67051,0.7253,0.49914,1.17445,1.03648,1.48105,0.000289884,0.000289884,0.000289884
11,6813.23,0.93171,0.71137,1.28428,0.78936,0.68361,0.73776,0.50533,1.17139,0.93489,1.5041,0.00024276,0.00024276,0.00024276
12,7427.07,0.89121,0.6509,1.25382,0.76799,0.69694,0.73385,0.51056,1.15597,0.97308,1.49564,0.000195636,0.000195636,0.000195636
13,8040.88,0.84625,0.59188,1.21938,0.76805,0.69181,0.73143,0.51643,1.13889,0.97101,1.4801,0.000148512,0.000148512,0.000148512
14,8654.73,0.80911,0.5453,1.19145,0.81226,0.68163,0.7403,0.51958,1.14836,0.9473,1.4934,0.000101388,0.000101388,0.000101388
15,9268.78,0.77735,0.50145,1.16094,0.78588,0.70576,0.74209,0.5227,1.13963,0.94301,1.48588,5.4264e-05,5.4264e-05,5.4264e-05
