epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,785.65,2.81819,5.97929,3.31108,0.45708,0.30116,0.29214,0.16243,3.45565,5.23409,4.00962,0.000237764,0.000237764,0.000237764
2,1547.23,2.88575,4.29274,3.31765,0.50412,0.38845,0.41321,0.24836,3.09758,3.77151,3.69728,0.000444364,0.000444364,0.000444364
3,2297.98,2.74032,3.85388,3.19577,0.60607,0.42972,0.45416,0.26817,3.1315,3.64772,3.67312,0.000619547,0.000619547,0.000619547
4,3045.8,2.66595,3.53909,3.12769,0.60203,0.5129,0.53457,0.33134,2.87222,3.09113,3.44804,0.000572628,0.000572628,0.000572628
5,3792.07,2.53667,3.14005,3.00033,0.67636,0.52851,0.57862,0.37828,2.70924,2.87495,3.28786,0.000525504,0.000525504,0.000525504
6,4536.7,2.48937,2.60623,3.08813,0.63776,0.55666,0.58184,0.38152,2.73309,2.80419,3.37214,0.00047838,0.00047838,0.00047838
7,5280.34,2.36868,2.30112,2.98678,0.66471,0.60526,0.6339,0.42748,2.56504,2.48409,3.17818,0.000431256,0.000431256,0.000431256
8,6022.97,2.25923,2.08521,2.88208,0.70797,0.62676,0.65804,0.44676,2.49448,2.36554,3.09901,0.000384132,0.000384132,0.000384132
9,6766.55,2.18499,1.91695,2.81326,0.72228,0.63852,0.67979,0.46684,2.44804,2.19315,3.08404,0.000337008,0.000337008,0.000337008
10,7511.23,2.10782,1.75644,2.74104,0.75247,0.65141,0.69649,0.47928,2.4047,2.18311,3.0358,0.000289884,0.000289884,0.000289884
11,8254.3,2.01692,1.58764,2.67174,0.77202,0.66095,0.70182,0.48342,2.40388,2.18089,3.04621,0.00024276,0.00024276,0.00024276
12,8997.73,1.9332,1.46283,2.60367,0.76011,0.68693,0.71573,0.50088,2.37262,2.06568,3.0264,0.000195636,0.000195636,0.000195636
13,9740.64,1.8389,1.33204,2.5301,0.77258,0.68125,0.72003,0.50906,2.32872,2.07694,3.00832,0.000148512,0.000148512,0.000148512
14,10484.1,1.76043,1.21551,2.47163,0.79129,0.6835,0.73136,0.51565,2.34636,2.02671,3.03868,0.000101388,0.000101388,0.000101388
15,11228.5,1.70541,1.11233,2.42145,0.7985,0.68555,0.73697,0.52023,2.33474,2.00133,3.0405,5.4264e-05,5.4264e-05,5.4264e-05
